entry_time,exit_time,side,contracts,entry_price,exit_price,pnl_points,gross_pnl,net_pnl,commission_exit,slippage_points_assumed
2020-03-26 16:18:00+00:00,2020-03-26 16:19:00+00:00,LONG,1,7697.75,7694.25,-3.5,-7.0,-7.5,0.5,0.25
2020-03-26 18:34:00+00:00,2020-03-26 18:36:00+00:00,SHORT,1,7762.25,7752.25,10.0,20.0,19.5,0.5,0.25
2020-03-26 19:55:00+00:00,2020-03-26 19:56:00+00:00,SHORT,1,7867.25,7853.25,14.0,28.0,27.5,0.5,0.25
2020-03-26 22:48:00+00:00,2020-03-26 22:50:00+00:00,LONG,1,7824.5,7831.0,6.5,13.0,12.5,0.5,0.25
2020-03-26 23:43:00+00:00,2020-03-26 23:44:00+00:00,SHORT,1,7863.5,7861.25,2.25,4.5,4.0,0.5,0.25
2020-03-26 23:59:00+00:00,2020-03-27 00:00:00+00:00,SHORT,1,7876.75,7871.75,5.0,10.0,9.5,0.5,0.25
2020-03-27 00:23:00+00:00,2020-03-27 00:24:00+00:00,LONG,1,7839.75,7838.25,-1.5,-3.0,-3.5,0.5,0.25
2020-03-27 00:59:00+00:00,2020-03-27 01:04:00+00:00,LONG,1,7792.0,7796.25,4.25,8.5,8.0,0.5,0.25
2020-03-27 01:11:00+00:00,2020-03-27 01:14:00+00:00,LONG,1,7759.75,7750.5,-9.25,-18.5,-19.0,0.5,0.25
2020-03-27 01:15:00+00:00,2020-03-27 01:16:00+00:00,LONG,1,7756.75,7766.0,9.25,18.5,18.0,0.5,0.25
2020-03-27 01:34:00+00:00,2020-03-27 01:35:00+00:00,LONG,1,7779.25,7792.0,12.75,25.5,25.0,0.5,0.25
2020-03-27 03:24:00+00:00,2020-03-27 03:25:00+00:00,SHORT,1,7772.75,7768.25,4.5,9.0,8.5,0.5,0.25
2020-03-27 04:32:00+00:00,2020-03-27 04:34:00+00:00,LONG,1,7725.0,7724.25,-0.75,-1.5,-2.0,0.5,0.25
2020-03-27 04:53:00+00:00,2020-03-27 04:54:00+00:00,LONG,1,7711.25,7707.75,-3.5,-7.0,-7.5,0.5,0.25
2020-03-27 05:56:00+00:00,2020-03-27 05:57:00+00:00,SHORT,1,7750.5,7759.5,-9.0,-18.0,-18.5,0.5,0.25
2020-03-27 05:58:00+00:00,2020-03-27 06:01:00+00:00,SHORT,1,7761.0,7771.0,-10.0,-20.0,-20.5,0.5,0.25
2020-03-27 06:03:00+00:00,2020-03-27 06:09:00+00:00,SHORT,1,7780.5,7790.0,-9.5,-19.0,-19.5,0.5,0.25
2020-03-27 07:57:00+00:00,2020-03-27 07:58:00+00:00,LONG,1,7702.0,7709.75,7.75,15.5,15.0,0.5,0.25
2020-03-27 09:33:00+00:00,2020-03-27 09:34:00+00:00,LONG,1,7682.5,7682.25,-0.25,-0.5,-1.0,0.5,0.25
2020-03-27 10:35:00+00:00,2020-03-27 10:36:00+00:00,SHORT,1,7700.75,7715.25,-14.5,-29.0,-29.5,0.5,0.25
2020-03-27 11:33:00+00:00,2020-03-27 11:34:00+00:00,LONG,1,7651.0,7644.0,-7.0,-14.0,-14.5,0.5,0.25
2020-03-27 11:35:00+00:00,2020-03-27 11:36:00+00:00,LONG,1,7654.0,7658.5,4.5,9.0,8.5,0.5,0.25
2020-03-27 12:38:00+00:00,2020-03-27 12:39:00+00:00,SHORT,1,7685.75,7676.5,9.25,18.5,18.0,0.5,0.25
2020-03-27 15:10:00+00:00,2020-03-27 15:11:00+00:00,SHORT,1,7657.5,7653.75,3.75,7.5,7.0,0.5,0.25
2020-03-27 15:16:00+00:00,2020-03-27 15:19:00+00:00,SHORT,1,7689.25,7683.25,6.0,12.0,11.5,0.5,0.25
2020-03-27 17:41:00+00:00,2020-03-27 17:43:00+00:00,SHORT,1,7716.25,7696.0,20.25,40.5,40.0,0.5,0.25
2020-03-27 19:05:00+00:00,2020-03-27 19:06:00+00:00,SHORT,1,7734.75,7738.5,-3.75,-7.5,-8.0,0.5,0.25
2020-03-27 19:11:00+00:00,2020-03-27 19:14:00+00:00,SHORT,1,7754.25,7738.75,15.5,31.0,30.5,0.5,0.25
2020-03-27 19:27:00+00:00,2020-03-27 19:29:00+00:00,SHORT,1,7799.5,7772.5,27.0,54.0,53.5,0.5,0.25
2020-03-27 19:41:00+00:00,2020-03-27 19:45:00+00:00,LONG,1,7655.0,7680.75,25.75,51.5,51.0,0.5,0.25
2020-03-27 19:49:00+00:00,2020-03-27 19:56:00+00:00,LONG,1,7643.25,7572.25,-71.0,-142.0,-142.5,0.5,0.25
2020-03-27 19:57:00+00:00,2020-03-27 20:00:00+00:00,LONG,1,7574.5,7581.75,7.25,14.5,14.0,0.5,0.25
2020-03-29 22:01:00+00:00,2020-03-29 22:04:00+00:00,LONG,1,7443.5,7462.75,19.25,38.5,38.0,0.5,0.25
2020-03-30 02:23:00+00:00,2020-03-30 02:31:00+00:00,SHORT,1,7513.5,7530.75,-17.25,-34.5,-35.0,0.5,0.25
2020-03-30 04:05:00+00:00,2020-03-30 04:07:00+00:00,SHORT,1,7558.75,7554.5,4.25,8.5,8.0,0.5,0.25
2020-03-30 04:09:00+00:00,2020-03-30 04:12:00+00:00,SHORT,1,7566.25,7567.75,-1.5,-3.0,-3.5,0.5,0.25
2020-03-30 04:15:00+00:00,2020-03-30 04:16:00+00:00,SHORT,1,7566.75,7565.0,1.75,3.5,3.0,0.5,0.25
2020-03-30 04:19:00+00:00,2020-03-30 04:20:00+00:00,SHORT,1,7575.5,7579.75,-4.25,-8.5,-9.0,0.5,0.25
2020-03-30 04:24:00+00:00,2020-03-30 04:27:00+00:00,SHORT,1,7593.5,7580.5,13.0,26.0,25.5,0.5,0.25
2020-03-30 04:59:00+00:00,2020-03-30 05:00:00+00:00,SHORT,1,7595.5,7594.75,0.75,1.5,1.0,0.5,0.25
2020-03-30 05:02:00+00:00,2020-03-30 05:03:00+00:00,SHORT,1,7603.0,7602.75,0.25,0.5,0.0,0.5,0.25
2020-03-30 05:10:00+00:00,2020-03-30 05:11:00+00:00,SHORT,1,7603.75,7611.5,-7.75,-15.5,-16.0,0.5,0.25
2020-03-30 05:39:00+00:00,2020-03-30 05:40:00+00:00,SHORT,1,7643.75,7647.5,-3.75,-7.5,-8.0,0.5,0.25
2020-03-30 05:43:00+00:00,2020-03-30 05:46:00+00:00,SHORT,1,7662.0,7679.75,-17.75,-35.5,-36.0,0.5,0.25
2020-03-30 05:47:00+00:00,2020-03-30 05:48:00+00:00,SHORT,1,7675.25,7669.75,5.5,11.0,10.5,0.5,0.25
